SMILES,as_denorm_mean,aw_denorm_mean,bp_denorm_mean,ccs_denorm_mean,cmc_denorm_mean,cpg_denorm_mean,cpl_denorm_mean,cps_denorm_mean,ct_denorm_mean,dk_denorm_mean,dm_denorm_mean,ds_denorm_mean,hc_denorm_mean,hf_denorm_mean,hm_denorm_mean,hv_denorm_mean,ip_denorm_mean,ld_denorm_mean,lf_denorm_mean,lm_denorm_mean,lp_denorm_mean,mec_denorm_mean,mp_denorm_mean,mvl_denorm_mean,mvs_denorm_mean,pka_denorm_mean,pol_denorm_mean,sle_denorm_mean,vp_denorm_mean,ws_denorm_mean
O=[N+]([O-])c1ccc(O)cc1,1.681765478366852,335.0512709924781,313.8336616495109,117.70701045892956,0.0438128115812585,30.355936910858155,50.6333681554252,38.66297920891285,814.7717985036135,18.446836585591708,3.3429698398697694,1.4352872178605796,17.9031154679949,-10.083192590911866,-6.448236355177522,63.44967982568741,9.09982931961894,1.150862272360921,160.7914811423683,-2.0642379715266825,1.9169022276018064,5757867.128681153,107.79447703235844,112.53859610666828,108.99155691032338,7.32272037874344,12.098290166861924,46.62359602436282,8.83336479067832e-08,0.1220538831607022
O=[N+]([O-])c1ccc([N+](=O)[O-])cc1,1.4902158200683595,259.156392616415,313.9416475744987,114.32312629235032,0.0013085594307494,37.29541183203101,65.96519527464032,48.04298242864967,839.2861397772789,11.45397779114267,0.0004101137221309,1.346776080619216,16.29120538746851,-7.398691495934964,-7.972731914443969,64.93010355713844,10.523021727369729,2.3533824648156765,192.94340195469857,-3.2962178649795053,1.594422855840206,23796272.46074356,162.20554997526943,117.26124853377058,101.96143458748814,7.145167247833192,12.086018476074198,59.81357251781442,1.1667004186580253e-08,0.0002403722497627
O=[N+]([O-])c1cccc(O)c1,1.508149876016617,338.9170716770458,289.83269536903146,118.6931464424944,0.0349719465499079,30.322311578808424,51.15277907857448,41.665093551391365,799.0694172140121,23.10574789150852,3.904982704273688,1.466212166374564,16.606428589940503,-8.797568119183063,-6.538805160118342,59.80860802078247,9.152303350871804,1.5019973821893338,150.70181982207774,-2.1659883015918733,1.949207961572912,8905832.958220603,88.51894499966056,114.8041632551377,111.49580814340509,8.189340260596753,12.04126272478253,58.97726645415682,4.048566271958428e-07,0.0746833144558495
O=[N+]([O-])c1cccc([N+](=O)[O-])c1,1.578217908686638,310.3883001225412,300.91636979773523,117.79779931036236,0.0196272454725089,31.227070750918983,58.01247959011645,47.83426628251195,814.4427213990926,21.526230170597028,0.4252630348210102,1.3415662722717523,16.784425204160904,-7.219006825301648,-8.081640228733539,60.17599554804802,10.572278032829765,1.3148021499459448,171.1980508822727,-2.961579566640258,1.5949575339063404,5796610.281954343,82.33527141788244,125.37045326581874,111.82386210295756,4.713142346960485,12.899645602878469,49.98102720376948,3.231960767193511e-07,0.0037259193788087
O=[N+]([O-])c1ccccc1,1.150838477462769,371.7630779175186,206.46161162108584,123.90474918471338,0.0522460852184624,29.558204980110524,49.93363982741714,50.41298164403677,717.9199273538948,32.27518037160121,4.70734517450554,1.1661152570550442,17.426375861578723,-4.021895446715653,-7.489507809431791,45.22050920022488,10.054807895875053,1.9370135438932847,87.2356562269163,-2.1493201496806744,1.6544863332627564,6482442.256282504,8.437912271554467,120.06727727037718,105.95761289732408,6.561019923594419,12.313962114508064,46.084429643062,0.0004276745938305,0.0120975989972872
O=[N+]([O-])c1ccccc1[N+](=O)[O-],1.7108856517734528,332.47645484215496,301.9337996847296,134.05194773563386,0.0158807756867313,35.29843539626002,64.15743513376802,57.54068767513037,792.8786559873104,23.726295376376907,2.5072717353674627,1.3719010111165046,18.946974795225152,-6.748201315086842,-7.837759221359491,55.846304622077945,10.632496471072734,1.738020442766473,161.19514654183865,-2.822066577197313,1.6196346360523104,7298122.718678821,74.47709332033872,139.7856620944098,126.12611226006716,3.7749825984661576,12.13747896809294,57.99816791737885,8.935789482750632e-08,0.0024513844701853
O=c1[nH]cc(F)c(=O)[nH]1,1.6807492537679671,285.2984091504097,373.340222217536,110.47954082950116,0.0572766495179258,41.27549244093567,67.79759159979344,33.278947018390895,847.2021409943819,41.008340942421306,3.805170668919142,1.4901983297367094,10.976390376846432,-16.449936754882813,-6.221416609098911,78.79033625057221,9.400610325894355,-1.6295780702280998,223.7086618185234,-0.8277918540501595,-0.7722836599721912,2445629.6391473166,275.2650785885764,93.18109745537488,95.8900304075246,7.284784206955463,8.145271740664262,46.05509218078983,8.978528932206797e-12,0.1015012338471298
O=c1ccc2ccccc2o1,1.5750977427186967,357.22658624260185,296.6129277573407,126.27109909696344,0.0330708939515251,35.81128132940143,59.23406231542886,50.68879109095455,777.8404695317745,20.26306792094817,5.010668241135472,1.2173573843317032,23.980325882870115,-7.6656299362669,-6.353266156116605,54.03491975597382,9.094455445706249,1.3353287198197843,136.25771046790123,-1.7921731546229125,1.3598888067883252,11369446.580463046,68.87611559132934,129.8398258093768,126.98728502624752,5.19901920193243,12.357904947458444,55.88922654234781,1.154288486427684e-06,0.0158131911521005
OB(O)O,1.1296236004593374,300.07236154364824,231.12630742701973,121.88891677079202,0.0928240997350553,21.193140873417256,43.72737244190455,17.761654024251698,699.9369361992359,22.72391768887954,1.600244820061221,1.4879436734007596,4.957577410339765,-12.098408108341218,-6.947671936466455,62.47653506008149,10.56883071908176,-1.6340067277276518,141.55535177705764,-0.3300377959620955,-1.1523969348278051,5697025.859458332,174.87004509843587,63.372775443737545,61.17714976092356,9.39679973765272,4.663957370024676,48.43971677712157,2.465869020737732e-07,0.845826177288143
OC(O)C(Cl)(Cl)Cl,0.9227513329865932,337.9969881762862,154.1038330076498,105.4394013274312,0.3475846406204945,5.814046885076763,16.51039808369876,9.816703325338366,687.2097285266876,17.426163989744285,2.399279812149828,1.6102806401933432,4.5872846011125405,-6.58981560430646,-7.745458255841971,44.250970392169954,10.639060989300908,-0.1308378133136032,74.1395210064137,-0.8243997959232332,0.2231300670490261,4868032.795580609,60.1067830888188,63.167793464138974,52.39811885503072,8.0469774620049,7.645192246526293,29.04397154768887,0.0063151790339367,3.2781570966447995
OC/C=C/c1ccccc1,0.964093744474888,336.5057623453629,244.35561783712623,126.24160375169994,0.0292485137112409,36.01699524482608,55.60872104655565,44.08262968020201,730.1984996801018,10.03661571093017,1.4175969558798802,1.0353459525952264,27.414473740379243,-6.436602213301898,-6.101158658477663,53.44301188316823,8.822909213896395,1.3814503786697987,110.93675894830228,-0.4268681659197808,1.8677250402984955,6237621.938189602,35.60795221440017,132.16007103780382,126.84755520122992,9.365413868305565,13.731205461715884,49.90361481834509,2.4312100276698512e-05,0.0281794147092845
OC1CCCCC1,0.6690839699926378,311.9817278181064,166.04642420035066,130.3428977267647,0.0694508543488867,29.63576180725396,47.27339236561537,34.72692081148386,639.9877334902167,14.0355949369088,2.0205971758798595,0.9490392594970464,21.13571663612745,-5.39003376971817,-6.737221833338023,45.252106372966765,9.7695806113033,1.123291312673688,55.73715370335981,1.5610095526528358,1.2089120268772242,2663572.361858961,22.52037650938392,113.61321849989352,104.73156518799574,11.785133151612758,10.9313338378132,37.92515525454486,0.0010694976038836,0.3510864463119075
OCC(O)C(O)C(O)C(O)CO,2.1385765817108155,230.48046492513416,480.4471426879716,137.83048899857283,0.1371874435529807,61.845858161231725,105.8417372864233,50.92976864111543,873.2108089147567,57.32381190057092,2.805598335449212,1.4517669565610885,18.28364445408421,-22.113683501342773,-6.320128110913276,98.30218791042329,9.6796089990668,-3.669899071946144,307.05329043502803,1.0909192214012142,-2.937534359581472,268106.3869345147,188.93065135981084,108.24192120838435,136.63051566827966,8.750641722584843,8.989862560213528,89.0403104802375,1.059852951693413e-15,5.600592040075526
OCC(O)CO,0.9406389008166792,257.01724171795365,268.9772295732999,110.2388483322716,0.6842630799228914,32.456904301885366,53.95607965630055,23.40882013442516,724.8700845300436,50.877145806470615,2.872991536911233,1.235598176820755,9.098101044419304,-13.492178168437006,-6.608712854586601,69.70659710508346,9.545897341566684,-1.727103130142689,163.24612338062764,1.671014248280525,-1.5772332910726072,548903.1097602069,12.929501827180388,73.62892554616496,79.8247052607921,13.6208790025692,8.30281534045042,62.69284931650487,4.585310360418855e-07,12.312050575004674
