smiles_std,cos2_mollogp_proxy,neoplastic_80_rule_proxy,x3v_chi3v_proxy
CC(=O)C1(O)CCC2C3CC=C4CC(=O)CCC4(C)C3CCC21C,0.34697019664679735,1,8.670238609798144
CC(=O)C1CCC2C3CC=C4CC(=O)CCC4(C)C3CCC12C,0.25353141897631676,0,8.426994785620693
CC(=O)C1CCC2C3CC=C4CC(O)(O)CCC4(C)C3CCC12C,0.34731102547720866,1,8.63448461011442
CC(=O)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C,0.27472594792830335,1,8.56863583422668
CC(=O)C=Cc1ccccc1,0.5234034660418462,0,1.310063962885701
CC(=O)CC(C)(C)O,0.69716836408679,0,0.6815558110428234
CC(=O)CCC(C)C,0.555307842931039,0,1.0737499091029978
CC(=O)N(C)C,0.7628725420673158,0,0.6297877813350133
CC(=O)Nc1ccc2c(c1)Cc1ccccc1-2,0.41671201429932386,1,3.11404910174106
CC(=O)Nc1ccn([C@@H]2O[C@H](CO)[C@H](O)[C@@H]2O)c(=O)n1,0.9410848856489799,0,2.925395928851465
CC(=O)O,0.763226066856433,0,0.0
CC(=O)OC(C)(C)C,0.6305197427147229,0,0.44991495713052976
CC(=O)OCC(=O)C12OC(C)(C)OC1CC1C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC12C,0.4485839018019325,0,9.442202675252117
CC(=O)OCC(=O)[C@@]12OC(C)(C)OC1C[C@H]1[C@@H]3CC(F)C4=CC(=O)C=C[C@]4(C)C3(F)C(O)C[C@@]12C,0.4485839018019325,0,9.442202675252117
CC(=O)OCC(=O)[C@@]12OC(C)(C)O[C@@H]1C[C@H]1[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C,0.4485839018019325,0,9.442202675252117
CC(=O)OCCC(C)C,0.6027215380912843,0,1.0005266043996348
CC(=O)OC[C@]12C[C@H](OC(=O)CC(C)C)C(C)=C[C@H]1O[C@@H]1[C@H](O)[C@@H](OC(C)=O)[C@@]2(C)[C@]12CO2,0.5917233319933054,0,8.00189853850954
CC(=O)Oc1ccc(O)cc1,0.6339163043525877,0,1.0983006775947481
CC(=O)Oc1ccccc1C(=O)O,0.6347393929605835,1,1.3711546649445037
CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,0.34697019664679735,1,8.695990942706548
CC(=O)[C@H]1CC[C@H]2[C@@H]3CC=C4CC(O)(O)CC[C@]4(C)[C@H]3CC[C@]12C,0.34731102547720866,1,8.63448461011442
CC(=O)[C@H]1CC[C@H]2[C@@H]3CC=C4CC(O)CC(O)[C@]4(C)[C@H]3CC[C@]12C,0.3861628135951696,1,8.669516342575555
CC(=O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,0.27472594792830335,1,8.56863583422668
CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC(O)[C@]4(C)[C@H]3CC[C@]12C,0.3628932284943736,1,8.558986465889785
CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,0.25353141897631676,0,8.452747118529096
CC(=O)c1ccccc1,0.5693310889039616,0,1.1803153331412106
CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,0.3643930297600152,1,2.9483613261911517
CC(C(=O)O)c1ccc2c(c1)Cc1cccnc1O2,0.4453000145340161,1,3.392470070101176
CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,0.42931931101728,1,3.055219667252702
CC(C(=O)OC[C@H]1OC(O)[C@@H](O)[C@@H](O)[C@@H]1O)c1ccc(-c2ccccc2)c(F)c1,0.675428842857569,1,5.008462147740287
CC(C(=O)OC[C@H]1OC(O)[C@@H](O)[C@@H](O)[C@@H]1O)c1cccc(C(=O)c2ccccc2)c1,0.7358882056053776,1,5.115320488801836
CC(C(=O)OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O)c1ccc(-c2ccccc2)c(F)c1,0.675428842857569,1,5.008462147740287
CC(C(=O)OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O)c1cccc(C(=O)c2ccccc2)c1,0.7358882056053776,1,5.115320488801836
CC(C)(C)NCC(O)COc1cccc2c1C[C@H](O)[C@H](O)C2,0.7078945026306198,1,3.8157637852440027
CC(C)(C)NC[C@H](O)COc1nsnc1N1CCOCC1,0.7216892683343193,1,3.535449742992379
CC(C)(C)O,0.6928301356466064,0,0.0
CC(C)(C)c1ccc(O)c(O)c1,0.5111131835223071,0,1.8414394491738135
CC(C)(C)c1ccccc1O,0.47712670321099043,0,1.7120630408395203
CC(C)(c1cc(Br)c(O)c(Br)c1)c1cc(Br)c(O)c(Br)c1,0.10230051536148467,0,5.895117290582323
CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,0.3931906972597595,1,3.177985095560205
CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,0.3770084011098182,1,4.828531103543978
CC(C)=CCC/C(C)=C/CO,0.4792378528575155,0,1.5310097978029482
CC(C)=O,0.7120340296875841,0,0.0
CC(C)CC(C)O,0.6232262014090301,0,0.8125160365254936
CC(C)CCC(=O)O,0.6126895468303409,0,0.9355533079779874
CC(C)CCO,0.6661499026401154,0,0.7064497140632062
CC(C)CO,0.7079050044355222,0,0.3651483716701107
CC(C)Cc1ccc(C(C)C(=O)O)cc1,0.4330364676526765,1,2.494095609718196
CC(C)Cc1ccc(C(C)C(=O)OC[C@H]2OC(O)[C@@H](O)[C@@H](O)[C@@H]2O)cc1,0.7391905186902387,1,4.554196431267328
CC(C)Cc1ccc(C(C)C(=O)OC[C@H]2OC(O)[C@H](O)[C@@H](O)[C@@H]2O)cc1,0.7391905186902387,1,4.554196431267328
CC(C)N,0.7369769051665386,0,0.0
CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,0.7268906755155432,1,2.505817681830794
