run_id,model_id,split_method,fold_index,seed,n_train,n_test,feature_family,descriptor_backend,feature_dim,rmse,mae,r2,pearson_r,spearman_r
finalcheck_2607312337,zeng_svr_proxy,random_10fold,6,42,469,52,zeng_proxy_descriptors,rdkit_paper_proxy,3,0.8164916633084943,0.5455982752120926,0.4790761971994526,0.7632004967026044,0.7505816574974029
finalcheck_2607312337,zeng_svr_proxy,random_10fold,7,42,469,52,zeng_proxy_descriptors,rdkit_paper_proxy,3,0.731708036736231,0.4760185210747216,0.34833816589041566,0.688645223143782,0.6932764147192226
finalcheck_2607312337,zeng_svr_proxy,random_10fold,8,42,469,52,zeng_proxy_descriptors,rdkit_paper_proxy,3,0.7210319653943014,0.4881968691649185,0.5295184021020216,0.7340043908935799,0.7318364210706052
finalcheck_2607312337,zeng_svr_proxy,random_10fold,9,42,469,52,zeng_proxy_descriptors,rdkit_paper_proxy,3,0.9765194845581681,0.609158780732131,0.4409909897696883,0.6860654371509268,0.6970182068139136
finalcheck_2607312337,zeng_svr_proxy,random_10fold,10,42,469,52,zeng_proxy_descriptors,rdkit_paper_proxy,3,0.9251615034418587,0.5730746940274126,0.3190559254757185,0.6411358569713866,0.6621416833592977
finalcheck_2607312337,abdallah_lgbm,target_stratified_10fold,1,42,468,53,abdallah_descriptor_table,cdk_2_8_curated_subset,96,0.7348728198242983,0.48356216453554146,0.6309452335099941,0.7955330676553851,0.782678818769219
finalcheck_2607312337,abdallah_lgbm,target_stratified_10fold,2,42,469,52,abdallah_descriptor_table,cdk_2_8_curated_subset,97,0.7691648743437958,0.498960416935758,0.546866427041907,0.7548355279172544,0.7725604029710579
finalcheck_2607312337,abdallah_lgbm,target_stratified_10fold,3,42,469,52,abdallah_descriptor_table,cdk_2_8_curated_subset,97,0.6648431176711984,0.47201962920610274,0.6236617555147472,0.7914057634477085,0.7957053514160863
finalcheck_2607312337,abdallah_lgbm,target_stratified_10fold,4,42,469,52,abdallah_descriptor_table,cdk_2_8_curated_subset,95,0.9135258532276391,0.6385561218949398,0.4183132998014536,0.6554065331987557,0.6017374230309239
finalcheck_2607312337,abdallah_lgbm,target_stratified_10fold,5,42,469,52,abdallah_descriptor_table,cdk_2_8_curated_subset,96,0.5703101177718943,0.416456866270733,0.7254170590032158,0.8542863844160069,0.8368658088179791
finalcheck_2607312337,abdallah_lgbm,target_stratified_10fold,6,42,469,52,abdallah_descriptor_table,cdk_2_8_curated_subset,97,0.8616368971313233,0.5984409381909176,0.4790166341912546,0.708829285233711,0.7700582700095656
finalcheck_2607312337,abdallah_lgbm,target_stratified_10fold,7,42,469,52,abdallah_descriptor_table,cdk_2_8_curated_subset,97,0.7444773046987313,0.5211100300341828,0.5498098650713565,0.7482259196047573,0.78854240055528
finalcheck_2607312337,abdallah_lgbm,target_stratified_10fold,8,42,469,52,abdallah_descriptor_table,cdk_2_8_curated_subset,97,0.7421847270964521,0.4744971858900711,0.5829678286812883,0.7834240833146436,0.8032954836506446
finalcheck_2607312337,abdallah_lgbm,target_stratified_10fold,9,42,469,52,abdallah_descriptor_table,cdk_2_8_curated_subset,97,0.8232033575083577,0.5414512518252079,0.501373643784136,0.7203898153648596,0.7385699039487726
finalcheck_2607312337,abdallah_lgbm,target_stratified_10fold,10,42,469,52,abdallah_descriptor_table,cdk_2_8_curated_subset,97,0.7628708765925716,0.535279835333511,0.5424237327444215,0.7404206261290768,0.7476308375309485
finalcheck_2607312337,fpadmet_rf,target_stratified_10fold,1,42,468,53,fpadmet_pubchem,skfp_pubchem_local,881,0.772601879481651,0.5839441600072908,0.5920772095005993,0.7788727156710774,0.765018952571974
finalcheck_2607312337,fpadmet_rf,target_stratified_10fold,2,42,469,52,fpadmet_pubchem,skfp_pubchem_local,881,0.6778617837003941,0.47672425819597214,0.6480591693600048,0.8102898186842737,0.8190899001109878
finalcheck_2607312337,fpadmet_rf,target_stratified_10fold,3,42,469,52,fpadmet_pubchem,skfp_pubchem_local,881,0.747113080070587,0.548156213989216,0.5247603364911252,0.7252526764212516,0.7282972957325197
finalcheck_2607312337,fpadmet_rf,target_stratified_10fold,4,42,469,52,fpadmet_pubchem,skfp_pubchem_local,881,0.8537692114692085,0.6662667302183933,0.4919242961850061,0.702142444755834,0.6037526450166912
finalcheck_2607312337,fpadmet_rf,target_stratified_10fold,5,42,469,52,fpadmet_pubchem,skfp_pubchem_local,881,0.6386352242120698,0.48445757442002324,0.6556840536617978,0.81938400524035,0.7994450373532549
finalcheck_2607312337,fpadmet_rf,target_stratified_10fold,6,42,469,52,fpadmet_pubchem,skfp_pubchem_local,881,0.7503780125824986,0.5687957668345517,0.6048741156475206,0.7818759587427057,0.7777422041856131
finalcheck_2607312337,fpadmet_rf,target_stratified_10fold,7,42,469,52,fpadmet_pubchem,skfp_pubchem_local,881,0.7265490659987475,0.5135819292984783,0.5712314269338967,0.7603267835141336,0.8118930227458245
